Math	92584778	8	0	1544	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	168	406	214	94	9	17	0	116	33	71	26	53	0	217	14	34	48	0
Math	e4694325	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Math	352f134f	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Math	9b7cfb86	3	6	30	1	0	0	0	0	0	0	1	0	0	0	0	0	2	0	2	2	0	3	0	0	0	0	0	0	3	0	0	0	3	0	3	3	0	3	0
Math	ccf6befd	1	0	280	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	69	11	6	7	0	0	32	14	18	1	5	0	25	5	5	10	0
Math	f039b677	5	198	677	18	59	24	14	2	0	0	29	13	20	0	5	0	20	0	10	10	0	47	164	60	39	13	7	0	76	30	66	8	5	0	62	1	20	21	0
Math	97568dc0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Math	52590a7d	6	190	400	31	107	40	6	9	7	0	27	16	45	7	1	0	37	1	10	11	0	43	114	57	32	9	8	0	42	18	45	8	2	0	40	1	15	16	0
Math	5ae92f12	3	13	335	4	16	1	0	0	0	0	7	3	5	0	0	0	7	0	0	0	0	27	90	27	1	10	0	0	43	18	25	0	4	0	28	4	3	7	0
Math	5f2a1cbb	2	0	185	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	25	1	1	1	2	0	6	2	8	2	1	0	6	1	1	2	0
Math	065a88e2	2	45	38	2	16	3	0	1	0	0	6	3	5	0	0	0	4	0	1	1	0	4	9	5	0	1	0	0	2	0	5	0	1	0	5	1	0	1	0
Math	7651a6b1	3	5	146	2	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	12	2	1	0	0	0	11	0	0	0	0	0	1	0	3	3	0
Math	0700b0f4	6	18	225	5	26	9	6	2	0	0	0	6	3	0	1	0	3	0	2	2	0	23	146	30	16	16	2	0	37	28	36	3	3	0	13	1	7	8	0
Math	71dfdabd	3	11	220	3	15	0	0	0	0	0	3	4	3	0	1	0	1	0	0	0	0	21	91	4	4	7	2	0	22	17	19	6	6	0	22	5	6	11	0
Math	d6f70282	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Math	5879d3be	2	0	659	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	69	127	52	42	19	6	0	41	13	59	6	20	0	51	10	13	23	0
Math	60f4205f	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Math	2ebf818b	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Math	526e1c41	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Math	118ae331	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Math	a008ed13	10	1277	1347	132	479	125	37	51	11	0	179	87	149	18	21	0	131	18	35	53	0	148	492	124	37	50	11	0	188	86	148	18	20	0	132	17	37	54	0
Math	437e275a	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Math	7d540cfa	3	36	192	5	11	1	1	0	0	0	3	0	0	0	3	0	2	3	0	3	0	5	11	1	1	0	0	0	8	1	0	0	3	0	2	3	0	3	0
Math	5d9efdbc	1	2	38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Math	246d50aa	1	3	54	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Math	a99cbac0	3	0	775	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	58	153	62	48	13	7	0	67	30	35	8	31	0	65	10	21	31	0
Math	5de3587b	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Math	60bf1335	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Math	a3e8ae46	5	21	106	3	20	3	3	1	0	0	7	4	11	0	0	0	5	0	1	1	0	10	46	11	10	2	2	0	23	11	15	2	0	0	14	0	4	4	0
Math	8ed6e84d	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Math	1376d960	1	6	10	1	7	7	7	0	0	0	1	0	3	0	1	0	2	0	0	0	0	1	7	7	7	0	0	0	1	0	3	0	1	0	2	0	0	0	0
Math	ca304541	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
